x,y,z
6.53101773416331,251.8861991523722,a
24.74875747573294,215.341342179354,a
39.633037384805405,160.91939624679299,a
72.73907530679509,117.68763112623606,a
37.29350331520162,117.46460333474477,a
68.78412221549559,104.2820894163894,a
35.99904801724043,106.26991288733069,a
107.50366469730659,56.49564492044749,a
42.20587232046042,33.73660890822475,a
82.60168084459298,93.49394157204438,a
61.46305316090673,103.26925814324181,a
152.96113955422175,85.30935865507877,a
128.87596532687874,157.3966812984189,a
133.8209238405285,178.19426323745597,a
77.6565235123681,209.7136671438892,a
72.43209938815322,199.65272102751908,a
69.82243703574397,195.97367059824228,a
123.16402029820766,157.1017860755287,a
71.02170408566703,176.1374971107573,a
37.289784785474126,128.5238597088159,a
59.943487153488775,58.75187065265726,a
80.93449772951891,6.099936411738497,a
120.34980535785643,36.17771590771116,a
110.58251925491717,46.794321802126774,a
117.71839391205009,48.777249958029984,a
62.77513378296885,114.3060253558013,a
93.38167644866692,162.4121010285594,a
125.92056551229112,225.59320040372035,a
113.74824848000091,199.38612479451479,a
94.20651115211535,211.7759113895965,a
30.390165482199123,184.10695452131637,a
37.97301081106111,174.0256063476818,a
67.63768093198652,167.9427132408004,a
60.41082529315469,88.69796863715811,a
94.12100990517773,85.13082488692902,a
107.83336198120364,60.50492093572501,a
117.88653688657134,113.2833789967869,a
136.7660663803541,122.27580022019856,a
160.1173629306496,115.9726586755882,a
117.25495004760188,139.84524309058412,a
96.26359943984272,222.48035585935054,a
85.1761213307123,191.31771060682576,a
57.99609446559576,169.63841416407035,a
82.99863398445561,213.73485170955587,a
60.68327097320264,149.34057674487633,a
39.380568613115905,95.3410073143333,a
39.96438543423524,124.40033062341814,a
67.68175598350669,66.23813153516528,a
85.57254178345173,40.520063241927346,a
87.95355544507063,97.95173654346473,a
89.55301652421025,38.22339556244577,a
89.34915672019048,107.84900664366364,a
116.94755174469633,179.13378096743497,a
128.74610135367587,198.1676633930195,a
59.875380700940795,246.96047583699695,a
78.29506843057476,245.33098073967946,a
-16.943009114569826,232.97596571874203,a
59.30166048030091,183.48461419613835,a
-11.440262977161517,162.64111699460722,a
8.137731317957922,113.08405727178433,a
49.40748637890384,67.38331943592965,a
94.50918399237221,25.32555016483883,a
118.34641460014751,56.26902705985208,a
129.93316726898402,60.98859419148528,a
152.61659723452328,79.14221339431305,a
129.27897832517965,50.406315972872164,a
139.71361373642495,164.09659829155981,a
131.00643387765166,157.67550794501096,a
160.45363090399925,215.4050110073249,a
141.90737611124655,221.09772691545112,a
88.70865661699122,236.71115057474998,a
25.738730108545578,240.98152832852327,a
32.3075358023004,189.0401091073826,a
14.928776749106042,135.91747922700358,a
6.153974705785668,137.38777060484324,a
33.30239436721586,29.42510113544182,a
65.79228319467775,54.98744419992215,a
128.16138286580997,70.05705509241858,a
145.62203934754268,60.588853863218446,a
217.7532734113839,93.67241819437209,a
180.00069033491536,123.23597141960624,a
126.56338954069082,194.0820077215817,a
124.71111354578458,292.7291941018033,a
135.79274303308475,276.5280000328948,a
136.89591095068096,261.87209954303086,a
56.23739522246482,204.4562012700316,a
118.18983785011426,101.91853347849536,a
94.0311693827531,92.52450662852266,a
82.50640920902504,45.74138994001544,a
114.6550352449336,80.38803767052906,a
112.62713520939327,36.82323584023294,a
112.6136598165397,68.06672021081806,a
62.508613375221884,155.65649902996432,a
58.71929998559068,175.85521290726126,a
38.01071448774334,155.2749315605401,a
82.48265171334128,145.07799344887445,a
102.33172564369698,103.2006499784631,a
87.16060772668763,109.03483374727358,a
44.154024315247966,101.00005107761115,a
116.71303578589229,140.63952582989873,a
105.61486024674629,136.24321193016027,a
145.1706767550919,186.31890371952744,a
140.4814141773126,228.4236775635136,a
111.74336504418491,193.72587615936834,a
122.74866017221152,270.8413042515615,a
72.6341598671584,230.99528157798835,a
102.41224881581307,212.67604452194564,a
54.62182841546189,227.75085105162714,a
52.95854223615037,203.11003007973744,a
99.45744639500442,153.17369288135723,a
72.96956607151647,137.401139197784,a
55.8807213369441,118.06457662282634,a
81.34031030816251,94.1762490297865,a
81.42544225879587,101.26740424105651,a
159.41321891885022,59.41481351088112,a
157.86950192319722,131.92751920345785,a
207.0778973581921,163.91131394562797,a
173.27319234104473,175.59499161290807,a
103.41239952001106,230.01068981869497,a
63.685674885162435,280.0527439881261,a
129.31665298893762,150.48773982385188,a
128.9605226254527,187.68517410705311,a
134.7232468784211,162.00447489870447,a
188.61695202638933,135.2735501180765,a
129.41103457610345,183.94768270232709,a
151.78611815547416,196.82828284178038,a
160.5259680303971,156.30586480980025,a
201.461162050993,145.40536996689934,a
188.8650223548479,203.8897009841922,a
99.35767346760095,233.4202198942965,a
152.3056074644188,181.04323915510815,a
98.3665837939977,203.3829880510845,a
103.3606633812609,176.3908780224429,a
80.43973040754774,214.93789939096985,a
145.26490384959186,131.89812913412538,a
88.80401271807078,144.5389691718571,a
156.5328920589312,139.8756271796538,a
167.86336961678708,143.19813712556072,a
176.2871948855098,184.74506489460032,a
183.36013905693713,176.58031528654897,a
185.42469237969627,246.2108631918806,a
135.36358606638788,227.12330399187448,a
117.74192542889122,248.19514445438804,a
88.8929014046318,223.72204704478662,a
109.09401599041668,225.6284597278547,a
81.81173341570688,192.18968395805695,a
110.71852797799755,125.00057381598685,a
124.84960323714597,148.6012449959668,a
87.11349321572716,113.08874681306412,a
150.54083039287642,93.15762645888248,a
149.16560532553297,105.31701534367625,a
144.78237798119525,111.79248299072452,a
140.01501534368788,128.74421483541357,a
171.4300323662694,154.75853308741864,a
154.5113998958786,150.8075826100723,a
187.14358322575936,224.0831312433034,a
120.94462255034331,210.70694094326723,a
